강원도 인제군,89,13,12,33,55,3,15,35,9,30,11
강원도 고성군,78,16,6,21,44,1,11,31,8,22,7
강원도 양양군,71,27,6,45,56,0,14,31,4,20,4
충청북도 청주시 상당구,414,216,129,168,254,27,78,288,61,117,32
충청북도 청주시 흥덕구,564,240,172,294,459,36,141,504,105,174,56
충청북도 충주시,520,113,63,175,301,11,63,268,50,154,44
충청북도 제천시,229,145,52,112,209,4,42,151,36,87,24
충청북도 청원군,382,82,22,131,149,9,44,216,24,80,11
충청북도 보은군,95,13,5,14,32,1,9,33,4,18,4
충청북도 옥천군,122,12,16,30,70,3,12,45,8,30,2
충청북도 영동군,133,13,13,29,55,1,12,48,11,35,6
충청북도 증평군,97,14,14,31,48,2,15,35,8,22,2
충청북도 진천군,110,31,19,61,90,4,23,110,12,33,20
충청북도 괴산군,107,4,11,20,26,2,7,52,6,24,1
충청북도 음성군,158,28,36,82,119,5,28,146,18,63,16
충청북도 단양군,119,18,6,21,45,4,7,29,6,22,3
충청남도 천안시 동남구,336,167,126,202,330,24,86,361,60,111,47
충청남도 천안시 서북구,321,218,160,297,445,33,126,652,64,130,67
충청남도 공주시,318,59,36,82,126,3,31,141,24,82,13
충청남도 보령시,330,52,28,102,145,6,27,107,18,64,23
충청남도 아산시,516,105,73,239,394,23,93,420,57,139,60
충청남도 서산시,280,67,41,116,191,7,51,233,38,79,26
충청남도 논산시,361,61,29,74,146,2,41,109,23,90,29
충청남도 계룡시,142,21,8,26,43,3,13,44,14,18,3
충청남도 당진시,235,62,36,117,162,8,43,311,30,81,23
충청남도 금산군,186,15,5,30,46,1,14,55,12,50,8
충청남도 부여군,248,18,9,23,65,4,13,51,6,40,7
충청남도 서천군,208,16,15,34,54,2,13,59,13,38,10
충청남도 청양군,101,6,7,15,36,2,8,36,3,22,1
충청남도 홍성군,184,34,24,63,88,5,27,122,18,65,7
충청남도 예산군,238,25,34,55,91,7,22,115,20,57,8
충청남도 태안군,169,22,22,53,77,3,20,103,12,36,6
전라북도 전주시 완산구,685,395,105,258,357,18,147,456,124,153,81
전라북도 전주시 덕진구,653,235,79,243,292,23,158,360,70,126,76
전라북도 군산시,728,169,119,214,298,12,103,423,60,159,66
전라북도 익산시,625,176,100,183,376,11,94,244,63,161,83
전라북도 정읍시,316,39,26,87,110,4,33,51,27,60,27
전라북도 남원시,209,38,20,59,88,4,18,46,27,57,25
전라북도 김제시,268,26,22,43,81,2,15,77,15,49,8
전라북도 완주군,514,29,4,56,83,3,23,81,17,45,13
전라북도 진안군,117,3,3,9,11,1,4,11,5,11,1
전라북도 무주군,71,11,4,18,36,3,13,18,4,23,3
전라북도 장수군,65,5,1,4,18,0,5,9,7,17,0
전라북도 임실군,101,6,1,13,25,0,19,11,6,17,1
전라북도 순창군,109,9,5,15,18,0,6,6,8,19,2
전라북도 고창군,138,11,8,24,40,1,10,28,9,32,11
전라북도 부안군,168,26,8,29,44,3,21,69,7,29,9
전라남도 목포시,548,175,130,193,291,15,83,235,64,140,70
